Time (s),Angle (deg),Torque (Nm),Cycle
7.389170,0.000000,0.000000,2
7.399685,0.000000,0.000000,2
7.410722,0.000000,0.000000,2
7.421677,0.000000,0.000000,2
7.432692,0.000000,0.000000,2
7.447102,0.000000,0.000000,2
7.457675,0.000000,0.000000,2
7.468660,0.000000,0.000000,2
7.478774,0.000000,0.000000,2
7.489776,0.000000,0.000000,2
7.499893,0.000000,0.000000,2
7.511187,0.000000,0.000000,2
7.522160,0.000000,0.000000,2
7.532413,0.000000,0.000000,2
7.542912,0.000000,0.000000,2
7.553298,0.000000,0.000000,2
7.563428,0.000000,0.000000,2
7.574937,0.000000,0.000000,2
7.586835,0.000000,0.000000,2
7.596946,0.000000,0.000000,2
7.607102,0.000000,0.000000,2
7.618117,0.000000,0.000000,2
7.630369,0.000000,0.000000,2
7.641650,0.000000,0.000000,2
7.652599,0.000000,0.000000,2
7.663153,0.000000,0.000000,2
7.673433,0.000000,0.000000,2
7.685580,0.000000,0.000000,2
7.697723,0.000000,0.000000,2
7.707873,0.000000,0.000000,2
7.718504,0.000000,0.000000,2
7.729479,0.000000,0.000000,2
7.739958,0.000000,0.000000,2
7.750716,0.000000,0.000000,2
7.763367,0.000000,0.000000,2
7.774077,0.000000,0.000000,2
7.785151,0.000000,0.000000,2
7.796142,0.000000,0.000000,2
7.806702,0.000000,0.000000,2
7.817887,0.000000,0.000000,2
7.829133,0.000000,0.000000,2
7.839455,0.000000,0.000000,2
7.850348,0.000000,0.000000,2
7.861236,0.000000,0.000000,2
7.871570,0.000000,0.000000,2
7.883586,0.000000,0.000000,2
7.894615,0.000000,0.000000,2
7.905616,0.000000,0.000000,2
7.917912,0.000000,0.000000,2
7.928384,0.000000,0.000000,2
7.942459,0.000000,0.000000,2
7.953661,0.000000,0.000000,2
7.964345,0.000000,0.000000,2
7.975473,0.000000,0.000000,2
7.986485,0.000000,0.000000,2
7.998399,0.000000,0.000000,2
8.009320,0.000000,0.000000,2
8.020434,0.000000,0.000000,2
8.031335,0.000000,0.000000,2
8.042257,0.000000,0.000000,2
8.053246,0.000000,0.000000,2
8.064652,0.000000,0.000000,2
8.077341,0.000000,0.000000,2
8.089752,0.000000,0.000000,2
8.099897,0.000000,0.000000,2
8.110869,0.000000,0.000000,2
8.121944,0.000000,0.000000,2
8.133309,0.000000,0.000000,2
8.144434,0.000000,0.000000,2
8.155301,0.000000,0.000000,2
8.166337,0.000000,0.000000,2
8.177394,0.000000,0.000000,2
8.188346,0.000000,0.000000,2
8.201257,0.000000,0.000000,2
8.211330,0.000000,0.000000,2
8.223120,0.000000,0.000000,2
8.233524,0.000000,0.000000,2
8.244527,0.000000,0.000000,2
8.256470,0.000000,0.000000,2
8.268135,0.000000,0.000000,2
8.278427,0.000000,0.000000,2
8.289419,0.000000,0.000000,2
8.299527,0.000000,0.000000,2
8.310589,0.000000,0.000000,2
8.321449,0.000000,0.000000,2
8.331997,0.000000,0.000000,2
8.342762,0.000000,0.000000,2
8.353865,0.000000,0.000000,2
8.364762,0.000000,0.000000,2
8.376240,0.000000,0.000000,2
8.386869,0.000000,0.000000,2
8.397976,0.000000,0.000000,2
8.408948,0.000000,0.000000,2
8.419996,0.000000,0.000000,2
8.430970,0.000000,0.000000,2
8.445507,0.000000,0.000000,2
8.457408,0.000000,0.000000,2
8.467697,0.000000,0.000000,2
8.477810,0.000000,0.000000,2
8.488148,0.000000,0.000000,2
8.499161,0.000000,0.000000,2
8.510758,0.000000,0.000000,2
8.521167,0.000000,0.000000,2
8.532041,0.000000,0.000000,2
8.542725,0.000000,0.000000,2
8.553051,0.000000,0.000000,2
8.565604,0.000000,0.000000,2
8.576577,0.000000,0.000000,2
8.587112,0.000000,0.000000,2
8.598034,0.000000,0.000000,2
8.609053,0.000000,0.000000,2
8.620036,0.000000,0.000000,2
8.631102,0.000000,0.000000,2
8.642471,0.000000,0.000000,2
8.653065,0.000000,0.000000,2
8.664034,0.000000,0.000000,2
8.675069,0.000000,0.000000,2
8.686392,0.000000,0.000000,2
8.697329,0.000000,0.000000,2
8.707885,0.000000,0.000000,2
8.718589,0.000000,0.000000,2
8.729594,0.000000,0.000000,2
8.740603,0.000000,0.000000,2
8.752726,0.000000,0.000000,2
8.763343,0.000000,0.000000,2
8.774374,0.000000,0.000000,2
8.785459,0.000000,0.000000,2
8.796134,0.000000,0.000000,2
8.806926,0.000000,0.000000,2
8.820102,0.000000,0.000000,2
8.831519,0.000000,0.000000,2
